case_id,int_mode,prepost_status,sample_type,trans_id,trans_contact,trans_therm,trans_military,trans_bathroom,trans_sports_pre,trans_sports_post,trans_sports_prepost,trans_discrim,gay_id,gay_contact,gay_therm,gay_adoption,gay_marriage,gay_elect,gay_discrim,resp_partyid,resp_race,resp_age,resp_edu,weight,psu,stratum,sample_mode
142464,2,2,1,2.0,2.0,40.0,7.0,7.0,1.0,,1.0,4.0,1.0,1.0,50.0,5.0,,5.0,4.0,7.0,1.0,69.0,14.0,0.150080114962813,2.0,109.0,panel_ftf_web_papi
142465,2,2,1,2.0,1.0,85.0,2.0,2.0,6.0,,6.0,1.0,1.0,1.0,85.0,1.0,,3.0,1.0,1.0,1.0,69.0,14.0,0.133674118767385,2.0,94.0,panel_ftf_web_papi
142466,2,2,1,2.0,1.0,50.0,1.0,2.0,6.0,,6.0,1.0,1.0,1.0,50.0,1.0,1.0,3.0,1.0,1.0,1.0,66.0,11.0,0.468452130155608,1.0,131.0,panel_ftf_web_papi
142467,2,2,1,2.0,2.0,0.0,4.0,7.0,1.0,,1.0,5.0,1.0,2.0,30.0,3.0,7.0,5.0,4.0,7.0,1.0,48.0,11.0,0.699861256888416,1.0,98.0,panel_ftf_web_papi
142468,2,2,1,2.0,1.0,0.0,7.0,7.0,1.0,,1.0,1.0,1.0,2.0,50.0,3.0,,5.0,2.0,7.0,1.0,37.0,9.0,1.61708263818473,1.0,133.0,panel_ftf_web_papi
142469,2,2,1,2.0,2.0,50.0,2.0,7.0,1.0,,1.0,2.0,1.0,1.0,50.0,1.0,,5.0,1.0,5.0,2.0,49.0,10.0,0.261516871715721,1.0,114.0,panel_ftf_web_papi
142470,2,2,1,2.0,2.0,30.0,4.0,7.0,1.0,,1.0,2.0,1.0,2.0,60.0,2.0,2.0,5.0,2.0,5.0,1.0,59.0,13.0,0.578393498525044,2.0,126.0,panel_ftf_web_papi
142471,2,2,1,2.0,2.0,50.0,4.0,6.0,2.0,,2.0,2.0,1.0,1.0,60.0,2.0,6.0,4.0,2.0,7.0,1.0,40.0,11.0,0.680216964584556,1.0,119.0,panel_ftf_web_papi
142472,2,2,1,2.0,2.0,50.0,4.0,4.0,4.0,,4.0,1.0,1.0,1.0,50.0,2.0,,3.0,1.0,1.0,1.0,35.0,14.0,0.228534930539566,2.0,114.0,panel_ftf_web_papi
142473,2,2,1,2.0,1.0,85.0,1.0,2.0,6.0,,6.0,1.0,1.0,1.0,90.0,1.0,,3.0,1.0,1.0,1.0,50.0,14.0,0.240542956511925,1.0,96.0,panel_ftf_web_papi
142474,2,2,1,2.0,2.0,15.0,4.0,7.0,1.0,,1.0,4.0,1.0,2.0,50.0,1.0,1.0,5.0,1.0,5.0,1.0,50.0,14.0,0.324508926471511,2.0,92.0,panel_ftf_web_papi
142476,2,2,1,2.0,2.0,80.0,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,90.0,1.0,1.0,2.0,1.0,1.0,1.0,42.0,13.0,0.566305480447455,2.0,89.0,panel_ftf_web_papi
142479,2,2,1,2.0,1.0,50.0,4.0,2.0,2.0,,2.0,2.0,1.0,1.0,85.0,1.0,,3.0,1.0,1.0,1.0,75.0,9.0,0.637397513629064,1.0,98.0,panel_ftf_web_papi
142480,2,1,1,2.0,,,,7.0,1.0,,1.0,,1.0,,,5.0,,,1.0,2.0,1.0,28.0,13.0,,,,no_design
142483,2,2,1,2.0,2.0,,4.0,6.0,1.0,,1.0,5.0,1.0,2.0,0.0,3.0,,5.0,2.0,7.0,1.0,57.0,13.0,0.287147573465693,2.0,97.0,panel_ftf_web_papi
142484,2,2,1,2.0,2.0,50.0,4.0,6.0,2.0,,2.0,3.0,1.0,2.0,50.0,2.0,,3.0,2.0,6.0,1.0,54.0,11.0,0.64282051264522,2.0,99.0,panel_ftf_web_papi
142485,2,2,1,2.0,2.0,60.0,4.0,4.0,2.0,,2.0,1.0,1.0,1.0,80.0,1.0,,2.0,1.0,2.0,1.0,52.0,14.0,0.325608511142209,2.0,132.0,panel_ftf_web_papi
142486,2,2,1,2.0,2.0,0.0,7.0,7.0,1.0,,1.0,4.0,1.0,2.0,0.0,6.0,,5.0,4.0,4.0,2.0,41.0,10.0,0.251178894823529,1.0,106.0,panel_ftf_web_papi
142488,2,2,1,2.0,2.0,50.0,4.0,4.0,4.0,,4.0,3.0,1.0,1.0,50.0,2.0,4.0,5.0,2.0,7.0,1.0,72.0,11.0,0.222374836970941,1.0,129.0,panel_ftf_web_papi
142489,2,2,1,2.0,2.0,50.0,4.0,4.0,4.0,,4.0,4.0,1.0,2.0,30.0,1.0,,3.0,1.0,1.0,2.0,49.0,9.0,1.21641242035637,1.0,103.0,panel_ftf_web_papi
142490,2,2,1,2.0,2.0,100.0,1.0,4.0,4.0,,4.0,1.0,1.0,1.0,100.0,2.0,4.0,2.0,1.0,1.0,6.0,80.0,95.0,2.20083585263178,2.0,105.0,panel_ftf_web_papi
142491,2,2,1,2.0,1.0,50.0,4.0,7.0,1.0,,1.0,2.0,1.0,1.0,50.0,1.0,1.0,3.0,1.0,7.0,1.0,69.0,9.0,0.193089694455421,1.0,128.0,panel_ftf_web_papi
142492,2,2,1,2.0,2.0,100.0,4.0,4.0,4.0,,4.0,1.0,1.0,1.0,100.0,1.0,,1.0,1.0,1.0,1.0,34.0,13.0,1.12143000018303,1.0,90.0,panel_ftf_web_papi
142493,2,2,1,2.0,1.0,100.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,1.0,2.0,1.0,1.0,1.0,70.0,13.0,0.604139482715474,1.0,132.0,panel_ftf_web_papi
142494,2,2,1,2.0,2.0,30.0,4.0,7.0,2.0,,2.0,3.0,1.0,1.0,75.0,2.0,2.0,5.0,1.0,4.0,1.0,42.0,6.0,3.95866236962442,2.0,114.0,panel_ftf_web_papi
142496,2,2,1,2.0,2.0,50.0,4.0,6.0,2.0,,2.0,5.0,1.0,2.0,50.0,6.0,5.0,5.0,1.0,7.0,3.0,46.0,7.0,1.34823507148769,2.0,134.0,panel_ftf_web_papi
142498,2,2,1,2.0,2.0,50.0,4.0,7.0,2.0,,2.0,3.0,1.0,2.0,60.0,3.0,5.0,4.0,2.0,5.0,1.0,69.0,14.0,0.103662809819074,2.0,96.0,panel_ftf_web_papi
142499,2,2,1,2.0,2.0,50.0,4.0,7.0,1.0,,1.0,5.0,1.0,2.0,50.0,2.0,,5.0,1.0,7.0,1.0,,10.0,0.321870666894571,1.0,106.0,panel_ftf_web_papi
142501,2,2,1,2.0,1.0,100.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,3.0,58.0,14.0,0.249595038593357,2.0,108.0,panel_ftf_web_papi
142502,2,2,1,2.0,1.0,100.0,1.0,1.0,7.0,,7.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,14.0,0.412649970049725,1.0,85.0,panel_ftf_web_papi
142503,2,2,1,2.0,2.0,50.0,4.0,7.0,1.0,,1.0,4.0,1.0,2.0,50.0,2.0,4.0,5.0,2.0,7.0,1.0,66.0,9.0,0.676454464990766,1.0,115.0,panel_ftf_web_papi
142504,2,2,1,2.0,2.0,60.0,3.0,3.0,6.0,,6.0,4.0,1.0,1.0,100.0,1.0,,5.0,1.0,3.0,1.0,47.0,13.0,0.2568101535917,2.0,129.0,panel_ftf_web_papi
142505,2,2,1,2.0,2.0,60.0,4.0,4.0,4.0,,4.0,3.0,1.0,1.0,60.0,1.0,1.0,3.0,3.0,5.0,3.0,42.0,13.0,1.19668714852094,2.0,87.0,panel_ftf_web_papi
142506,2,2,1,2.0,2.0,60.0,2.0,1.0,6.0,,6.0,1.0,1.0,1.0,80.0,1.0,,4.0,1.0,1.0,1.0,64.0,13.0,0.479407978302642,2.0,114.0,panel_ftf_web_papi
